timestamp,email_id,field,dcsa_field,original_value,corrected_value,resolution,reviewer,evidence_summary
2026-09-20T12:00:00+00:00,email_004,consignee,documentParties.consignee,"UAB NOVAKOPA RAKEZ AMENITY CENTER; AL HAMRA INDUSTRIAL ZONE, RAK, UAE","EAST BRIGHT FZ-LLC RAKEZ AMENITY CENTER; AL HAMRA INDUSTRIAL ZONE, RAK, UAE",human_selected:si,Pohyi Chong,
2026-09-20T12:00:00+00:00,email_004,notify_party,documentParties.notifyParty,UAB NOVAKOPA,"EAST BRIGHT FZ-LLC, DUBAI",human_selected:custom,Pohyi Chong,email_004_SI.txt@228: Consignee (Non-Negotiable): EAST BRIGHT FZ-LLC | email_004_BL.txt@219: To the Order of: UAB NOVAKOPA
2026-09-20T12:00:00+00:00,email_004,consignee,documentParties.consignee,"UAB NOVAKOPA RAKEZ AMENITY CENTER; AL HAMRA INDUSTRIAL ZONE, RAK, UAE","EAST BRIGHT FZ-LLC RAKEZ AMENITY CENTER; AL HAMRA INDUSTRIAL ZONE, RAK, UAE",human_selected:si,Pohyi Chong,email_004_SI.txt@228: Consignee (Non-Negotiable): EAST BRIGHT FZ-LLC | email_004_BL.txt@219: To the Order of: UAB NOVAKOPA
2026-09-20T12:00:00+00:00,email_004,notify_party,documentParties.notifyParty,UAB NOVAKOPA,"EAST BRIGHT FZ-LLC, DUBAI",human_selected:custom,Pohyi Chong,email_004_SI.txt@228: Consignee (Non-Negotiable): EAST BRIGHT FZ-LLC | email_004_BL.txt@219: To the Order of: UAB NOVAKOPA
2026-09-20T13:00:00+00:00,email_004,consignee,documentParties.consignee,"UAB NOVAKOPA RAKEZ AMENITY CENTER; AL HAMRA INDUSTRIAL ZONE, RAK, UAE","EAST BRIGHT FZ-LLC RAKEZ AMENITY CENTER; AL HAMRA INDUSTRIAL ZONE, RAK, UAE",human_selected:si,Pohyi Chong,email_004_SI.txt@228: Consignee (Non-Negotiable): EAST BRIGHT FZ-LLC | email_004_BL.txt@219: To the Order of: UAB NOVAKOPA
2026-09-20T13:00:00+00:00,email_004,notify_party,documentParties.notifyParty,UAB NOVAKOPA,"EAST BRIGHT FZ-LLC, DUBAI",human_selected:custom,Pohyi Chong,email_004_SI.txt@228: Consignee (Non-Negotiable): EAST BRIGHT FZ-LLC | email_004_BL.txt@219: To the Order of: UAB NOVAKOPA
2026-09-20T17:08:31.819949+00:00,email_004,consignee,documentParties.consignee,"UAB NOVAKOPA RAKEZ AMENITY CENTER; AL HAMRA INDUSTRIAL ZONE, RAK, UAE","EAST BRIGHT FZ-LLC RAKEZ AMENITY CENTER; AL HAMRA INDUSTRIAL ZONE, RAK, UAE",human_selected:si,Pohyi Chong,email_004_SI.txt@228: Consignee (Non-Negotiable): EAST BRIGHT FZ-LLC | email_004_BL.txt@219: To the Order of: UAB NOVAKOPA
